nome,descricao,preco,categoria,preco_media,preco_grande
HOT-DOG,"Salsicha, maionese, ketchup, mostarda, vinagrete e batata-palha",13,lanches_individuais,,
HOT-DOG DUPLO,"2 Salsichas, maionese, ketchup, mostarda, vinagrete e batata-palha",15,lanches_individuais,,
HOT-DOG ESPECIAL,"Salsicha, maionese, ketchup, mostarda, milho, vinagrete, batata-palha, presunto e queijo",24,lanches_individuais,,
HOT-DOG ESPECIAL 2 C/ PURÊ E CARNE MOÍDA,"Salsicha, maionese, ketchup, mostarda, vinagrete, batata-palha, presunto, queijo, milho, carne moída e purê",33,lanches_individuais,,
AMERICANO COM FRANGO,"Presunto, queijo, alface, vinagrete, ovo, frango desfiado, maionese, ketchup e batata-palha",34,lanches_individuais,,
X-BURGUER,"Hambúrguer, queijo, maionese, ketchup, vinagrete",24,lanches_individuais,,
X-SALADA,"Hambúrguer, alface, queijo, maionese, ketchup, vinagrete e batata-palha",25,lanches_individuais,,
X-EGG,"Hambúrguer, queijo, ovo, maionese, ketchup, vinagrete e batata-palha",25,lanches_individuais,,
X-MILHO,"Hambúrguer, milho, queijo, maionese, ketchup, vinagrete e batata-palha",26,lanches_individuais,,
CARNAFRANGO,"Carne desfiada, frango, maionese, requeijão coronata, batata-palha e ketchup",37,lanches_individuais,,
CALACARNAFRANBACON,"Calabresa, carne desfiada, frango e bacon, maionese, requeijão coronata, batata-palha e ketchup",42,lanches_individuais,,
FRANGÃO,"Frango desfiado, requeijão coronata, queijo, maionese, ketchup e batata-palha.",,lanches,28,37
CARNAFRANBURGUER,"Carne, frango desfiado, hambúrguer, requeijão coronata, queijo, maionese, ketchup e batata-palha.",,lanches,30,38
FRANBURGUER,"Frango desfiado, hambúrguer, requeijão coronata, queijo, maionese, ketchup e batata-palha.",,lanches,28,38
FRANBACON,"Frango desfiado, bacon, requeijão coronata, queijo, maionese, ketchup e batata-palha.",,lanches,28,35
CALAFRANGO,"Calabresa, frango desfiado, requeijão coronata, queijo, maionese, ketchup e batata-palha.",,lanches,28,35
CALAFRANBURGUER,"Hambúrguer, calabresa, frango desfiado, requeijão coronata, queijo, maionese, ketchup e batata-palha.",,lanches,30,37
CALACARNAFRANGO,"Carne, calabresa, frango desfiado, requeijão coronata, queijo, maionese, ketchup e batata-palha.",,lanches,30,38
CARNAFRANBACON,"Carne, frango, bacon, requeijão, maionese, ketchup, batata-palha, queijo.",,lanches,30,37
X-TUDO PARA 1 PESSOA,"Carne, frango, calabresa, bacon, queijo, presunto, requeijão coronata, milho, hambúrguer, ovo, maionese, ketchup e batata-palha.",37,lanches,,
X-TUDO PARA 2 PESSOAS,"Carne, frango, calabresa, bacon, queijo, presunto, requeijão coronata, milho, hambúrguer, ovo, maionese, ketchup e batata-palha.",48,lanches,,
X-TUDO PARA 4 PESSOAS,"Carne, frango, calabresa, bacon, queijo, presunto, requeijão coronata, milho, hambúrguer, ovo, maionese, ketchup e batata-palha.",80,lanches,,
PERNIL NA BAGUETE,"Pernil desfiado, azeitona, vinagrete, cheiro verde, requeijão Tirolês, queijo prato e maionese.",42,baguete,,
